"data";"tipo";"num_convenio";"cod_tci";"uf";"secretaria";"campo";"valor_anterior";"valor_atual"
"2026-04-08";"Alterado";"968263";"1-2016086";"MG";"SNSA";"situacao_da_analise_suspensiva";"Análise não iniciada";"Análise iniciada"
"2026-04-08";"Alterado";"968263";"1-2016086";"MG";"SNSA";"vencimento_da_suspensiva";"2026-03-29";"2026-04-28"
"2026-04-08";"Alterado";"968263";"1-2016086";"MG";"SNSA";"urgencia_suspensiva";"Vencida";"Próximos 30 dias"
"2026-04-08";"Alterado";"968269";"1-2016735";"RN";"SNSA";"dsc_situacao_contrato_mcid";"Contratado - Suspensiva";"Contratado - Normal"
"2026-04-08";"Alterado";"968269";"1-2016735";"RN";"SNSA";"situacao_da_analise_suspensiva";"Analisada e aceita";"Suspensiva retirada"
"2026-04-08";"Alterado";"968366";"1-2011694";"GO";"SNSA";"situacao_da_analise_suspensiva";"Análise não iniciada";"Análise iniciada"
"2026-04-08";"Alterado";"968391";"1-2015868";"RN";"SEMOB";"situacao_da_analise_suspensiva";"Análise não iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"968395";"1-2016714";"TO";"SEMOB";"dsc_situacao_contrato_mcid";"Contratado - Suspensiva";"Contratado - Normal"
"2026-04-08";"Alterado";"968395";"1-2016714";"TO";"SEMOB";"situacao_da_analise_suspensiva";"Análise iniciada";"Suspensiva retirada"
"2026-04-08";"Alterado";"968400";"1-2016673";"PR";"SEMOB";"situacao_da_analise_suspensiva";"Análise iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"968569";"1-2012397";"PA";"SNSA";"situacao_da_analise_suspensiva";"Analisada com pendências";"Análise iniciada"
"2026-04-08";"Alterado";"968570";"1-2013983";"MG";"SNSA";"situacao_da_analise_suspensiva";"Análise iniciada";"Análise não iniciada"
"2026-04-08";"Alterado";"968580";"1-2012667";"MG";"SNSA";"situacao_da_analise_suspensiva";"Análise iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"968586";"1-2015786";"SP";"SNSA";"vencimento_da_suspensiva";"2027-04-30";"2026-04-30"
"2026-04-08";"Alterado";"968586";"1-2015786";"SP";"SNSA";"urgencia_suspensiva";"Mais de 90 dias";"Próximos 30 dias"
"2026-04-08";"Alterado";"968587";"1-2016404";"PR";"SNSA";"situacao_da_analise_suspensiva";"Analisada com pendências";"Análise não iniciada"
"2026-04-08";"Alterado";"968617";"1-2016600";"PA";"SNSA";"situacao_da_analise_suspensiva";"Análise iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"968620";"1-2010756";"MG";"SNSA";"situacao_da_analise_suspensiva";"Análise não iniciada";"Análise iniciada"
"2026-04-08";"Alterado";"968630";"1-2012708";"SP";"SNSA";"situacao_da_analise_suspensiva";"Análise não iniciada";"Análise iniciada"
"2026-04-08";"Alterado";"968724";"1-2016443";"MT";"SNSA";"dte_publicacao_licitacao";"";"2026-04-07"
"2026-04-08";"Alterado";"968724";"1-2016443";"MT";"SNSA";"flag_publicacao_licitacao";"NAO";"SIM"
"2026-04-08";"Alterado";"968724";"1-2016443";"MT";"SNSA";"ultima_data_relevante";"2026-01-30";"2026-04-07"
"2026-04-08";"Alterado";"968724";"1-2016443";"MT";"SNSA";"fase_atual";"LAE";"PUBLICACAO LICITACAO"
"2026-04-08";"Alterado";"968724";"1-2016443";"MT";"SNSA";"dias_ate_publicacao";"";"67"
"2026-04-08";"Alterado";"968724";"1-2016443";"MT";"SNSA";"prazo_homolog_licitacao";"";"2026-08-05"
"2026-04-08";"Alterado";"968724";"1-2016443";"MT";"SNSA";"status_pub_licitacao";"No prazo";"Concluída no prazo"
"2026-04-08";"Alterado";"968724";"1-2016443";"MT";"SNSA";"status_homolog_licitacao";"";"No prazo"
"2026-04-08";"Alterado";"968727";"1-2017073";"PI";"SNSA";"vencimento_da_suspensiva";"2026-03-30";"2026-04-30"
"2026-04-08";"Alterado";"968727";"1-2017073";"PI";"SNSA";"urgencia_suspensiva";"Vencida";"Próximos 30 dias"
