"tipo_alteracao";"categoria_alteracao";"num_convenio";"cod_tci";"campo";"valor_anterior";"valor_atual"
"alterado";"derivados_tempo";"973945";"1-2031032";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973946";"1-2030866";"prazo_pub_licitacao_calc";"2026-07-11";""
"alterado";"derivados_tempo";"973946";"1-2030866";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973946";"1-2030866";"status_pub_licitacao_calc";"No prazo";""
"alterado";"derivados_tempo";"973947";"1-2033045";"prazo_pub_licitacao_calc";"2026-04-28";""
"alterado";"derivados_tempo";"973947";"1-2033045";"prazo_homolog_licitacao_calc";"2026-07-17";"2026-06-01"
"alterado";"derivados_tempo";"973947";"1-2033045";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973947";"1-2033045";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973948";"1-2031786";"prazo_pub_licitacao_calc";"2026-03-31";""
"alterado";"derivados_tempo";"973948";"1-2031786";"prazo_homolog_licitacao_calc";"2026-04-18";"2026-06-01"
"alterado";"derivados_tempo";"973948";"1-2031786";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973948";"1-2031786";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973949";"1-2033694";"prazo_pub_licitacao_calc";"2025-12-31";""
"alterado";"derivados_tempo";"973949";"1-2033694";"prazo_homolog_licitacao_calc";"2026-05-15";"2026-06-01"
"alterado";"derivados_tempo";"973949";"1-2033694";"status_pub_licitacao_calc";"Concluída em atraso";""
"alterado";"derivados_tempo";"973949";"1-2033694";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973950";"1-2033742";"prazo_pub_licitacao_calc";"2025-12-31";""
"alterado";"derivados_tempo";"973950";"1-2033742";"prazo_homolog_licitacao_calc";"2026-05-15";"2026-06-01"
"alterado";"derivados_tempo";"973950";"1-2033742";"status_pub_licitacao_calc";"Concluída em atraso";""
"alterado";"derivados_tempo";"973950";"1-2033742";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973951";"1-2033034";"prazo_pub_licitacao_calc";"2026-07-17";""
"alterado";"derivados_tempo";"973951";"1-2033034";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973951";"1-2033034";"status_pub_licitacao_calc";"No prazo";""
"alterado";"derivados_tempo";"973952";"1-2033275";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973953";"1-2032861";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973954";"1-2033169";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973956";"1-2030721";"prazo_pub_licitacao_calc";"2026-07-30";""
"alterado";"derivados_tempo";"973956";"1-2030721";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973956";"1-2030721";"status_pub_licitacao_calc";"No prazo";""
"alterado";"derivados_tempo";"973957";"1-2033461";"prazo_pub_licitacao_calc";"2026-06-05";""
"alterado";"derivados_tempo";"973957";"1-2033461";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973957";"1-2033461";"status_pub_licitacao_calc";"No prazo";""
"alterado";"derivados_tempo";"973958";"1-2033594";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973959";"1-2031656";"prazo_pub_licitacao_calc";"2026-03-07";""
"alterado";"derivados_tempo";"973959";"1-2031656";"prazo_homolog_licitacao_calc";"2026-04-22";"2026-06-01"
"alterado";"derivados_tempo";"973959";"1-2031656";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973959";"1-2031656";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973960";"1-2033176";"prazo_pub_licitacao_calc";"2026-04-08";""
"alterado";"derivados_tempo";"973960";"1-2033176";"prazo_homolog_licitacao_calc";"2026-06-02";"2026-06-01"
"alterado";"derivados_tempo";"973960";"1-2033176";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973960";"1-2033176";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973961";"1-2033722";"prazo_pub_licitacao_calc";"2026-05-26";""
"alterado";"derivados_tempo";"973961";"1-2033722";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973961";"1-2033722";"status_pub_licitacao_calc";"No prazo";""
"alterado";"derivados_tempo";"973962";"1-2033634";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973963";"1-2032737";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973964";"1-2033309";"prazo_pub_licitacao_calc";"2026-07-03";""
"alterado";"derivados_tempo";"973964";"1-2033309";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973964";"1-2033309";"status_pub_licitacao_calc";"No prazo";""
"alterado";"derivados_tempo";"973965";"1-2033405";"prazo_pub_licitacao_calc";"2026-07-09";""
"alterado";"derivados_tempo";"973965";"1-2033405";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973965";"1-2033405";"status_pub_licitacao_calc";"No prazo";""
"alterado";"derivados_tempo";"973966";"1-2033125";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973967";"1-2033297";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973968";"1-2032535";"prazo_pub_licitacao_calc";"2025-12-11";""
"alterado";"derivados_tempo";"973968";"1-2032535";"prazo_homolog_licitacao_calc";"2026-07-18";"2026-06-01"
"alterado";"derivados_tempo";"973968";"1-2032535";"status_pub_licitacao_calc";"Concluída em atraso";""
"alterado";"derivados_tempo";"973968";"1-2032535";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973969";"1-2033426";"prazo_pub_licitacao_calc";"2026-02-17";""
"alterado";"derivados_tempo";"973969";"1-2033426";"prazo_homolog_licitacao_calc";"2026-06-06";"2026-06-01"
"alterado";"derivados_tempo";"973969";"1-2033426";"status_pub_licitacao_calc";"Concluída no prazo";""
